Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
MFH;15;WWB;MFH15WWB;4.59E-03;1.38E-05;2.12E-05;;;;;;;;
MFH;15;WSH;MFH15WSH;5.14E-03;2.65E-05;1.44E-05;;;;;;;;
MFH;15;WSB;MFH15WSB;3.93E-03;-4.73E-06;8.65E-06;;;;;;;;
;;;;;;;;;;;;;;
EFH;1;ÜWH;EFH1ÜWH;0.0018613;-0.000058847;-0.00013009;;;;;;;;
EFH;1;ÜWB;EFH1ÜWB;0.002685;1.82E-06;-0.000065571;;;;;;;;
EFH;1;ÜSH;EFH1ÜSH;0.0031328;0.000082711;0.00031096;;;;;;;;
EFH;1;ÜSB;EFH1ÜSB;0.0025591;0.00015686;0.00036393;;;;;;;;
EFH;1;SWX;EFH1SWX;0;-1.30E-04;0.00020809;;;;;;;;
EFH;1;SSX;EFH1SSX;0;-0.000070403;0.00014629;;;;;;;;
EFH;1;WWH;EFH1WWH;0.0050225;3.75E-06;0.000076953;;;;;;;;
EFH;1;WWB;EFH1WWB;5.27E-03;0.000065377;0.000026877;;;;;;;;
EFH;1;WSH;EFH1WSH;5.67E-03;0.00010871;0.00074913;;;;;;;;
EFH;1;WSB;EFH1WSB;0.0044698;0.00021175;0.00040245;;;;;;;;
EFH;;;;;;;;;;;;;;
EFH;2;ÜWH;EFH2ÜWH;0.0019137;-0.000059991;-0.00013023;;;;;;;;
EFH;2;ÜWB;EFH2ÜWB;0.0024798;5.95E-07;-0.000065718;;;;;;;;
EFH;2;ÜSH;EFH2ÜSH;0.002649;0.000081377;0.00031075;;;;;;;;
EFH;2;ÜSB;EFH2ÜSB;0.0026417;0.00015543;0.0003637;;;;;;;;
EFH;2;SWX;EFH2SWX;0;-0.00013116;-0.00020822;;;;;;;;
EFH;2;SSX;EFH2SSX;0;-0.000071531;0.0001461;;;;;;;;
EFH;2;WWH;EFH2WWH;0.0047554;2.52E-06;0.000076781;;;;;;;;
EFH;2;WWB;EFH2WWB;0.0051503;6.46E-05;0.000026714;;;;;;;;
EFH;2;WSH;EFH2WSH;0.0056221;0.00010734;0.00074884;;;;;;;;
EFH;2;WSB;EFH2WSB;0.0045184;0.00021024;0.00040222;;;;;;;;
;;;;;;;;;;;;;;
EFH;3;ÜWH;EFH3ÜWH;0.0017169;-0.000065052;-0.00013633;;;;;;;;
EFH;3;ÜWB;EFH3ÜWB;0.0024087;4.82E-06;0.00007232;;;;;;;;
EFH;3;ÜSH;EFH3ÜSH;0.0024827;0.000075478;0.00030121;;;;;;;;
