;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9
2021-04-16T19:00:00;4741.080887494805;5270.63624194268;75154.7100186884;22827.426495345357;5270.63624194268;10541.27248388536;57068.56623836338;10541.27248388536;83461.60669346008
2021-04-16T20:00:00;4098.00417892298;5487.635228685074;63342.47350923087;19731.131231851385;5487.635228685074;10975.270457370149;49327.82807962847;10975.270457370149;86005.09601844022
2021-04-16T21:00:00;4986.6348776837785;5371.14546254623;66500.86795381542;24009.72348514412;5371.14546254623;10742.29092509246;60024.3087128603;10742.29092509246;86119.89384410933
2021-04-16T22:00:00;5136.027864721826;4387.500830781774;53859.354511043595;24729.023052364344;4387.500830781774;8775.001661563549;61822.55763091086;8775.001661563549;78959.37946800157
2021-04-16T23:00:00;5975.719481521883;3086.3479916713736;52589.64820166285;28771.98268880906;3086.3479916713736;6172.695983342747;71929.95672202263;6172.695983342747;58159.44842958844
2021-04-17T00:00:00;9768.793772549283;2560.085108440503;64534.088467083406;47034.93297894099;2560.085108440503;5120.170216881006;117587.33244735246;5120.170216881006;44214.37226546444
2021-04-17T01:00:00;7452.29671986756;2293.067997404622;76111.90345422913;35881.42865121417;2293.067997404622;4586.135994809244;89703.57162803542;4586.135994809244;50357.43106694933
2021-04-17T02:00:00;4387.696820560094;2227.250621789638;72414.3407100949;21125.9476545486;2227.250621789638;4454.501243579276;52814.86913637149;4454.501243579276;46092.50489267001
2021-04-17T03:00:00;5540.198997622986;2477.6377197697752;69165.21446194168;26675.03221077734;2477.6377197697752;4955.2754395395505;66687.58052694333;4955.2754395395505;61986.20225039714
2021-04-17T04:00:00;5970.456899811004;3990.9689078424285;95101.15071131532;28746.64433242335;3990.9689078424285;7981.937815684857;71866.61083105837;7981.937815684857;95909.97282929772
2021-04-17T05:00:00;5527.2697117475545;6264.127734687358;103083.32033977703;26612.780093599333;6264.127734687358;12528.255469374715;66531.95023399833;12528.255469374715;88745.67941176983
2021-04-17T06:00:00;8565.651892474281;7787.296395271856;137816.76530121427;41242.02763043172;7787.296395271856;15574.592790543713;103105.06907607928;15574.592790543713;118173.67001429708
2021-04-17T07:00:00;15139.834613302024;6793.711671575185;140177.17194824148;72895.49998997271;6793.711671575185;13587.42334315037;182238.74997493174;13587.42334315037;151404.87918691558
2021-04-17T08:00:00;17379.833391220775;6316.594254750547;117131.61275023625;83680.67929106296;6316.594254750547;12633.188509501095;209201.6982276574;12633.188509501095;113298.35073617595
2021-04-17T09:00:00;12824.41500110992;5825.18908023013;92720.36058719803;61747.18333867739;5825.18908023013;11650.37816046026;154367.95834669343;11650.37816046026;89156.52092397102
2021-04-17T10:00:00;11214.000615958781;5474.085001771546;90767.62348197168;53993.336299060786;5474.085001771546;10948.170003543091;134983.34074765196;10948.170003543091;81174.45725834738
2021-04-17T11:00:00;10911.598985205603;5148.277281200572;96829.66956855117;52537.328447286236;5148.277281200572;10296.554562401145;131343.32111821556;10296.554562401145;70703.86786167634
2021-04-17T12:00:00;8990.163445384327;5024.840423730478;88957.57071637567;43285.97214444305;5024.840423730478;10049.680847460955;108214.93036110763;10049.680847460955;75399.19942969024
2021-04-17T13:00:00;4795.328472466103;4719.410324791189;73001.3848502882;23088.61857113309;4719.410324791189;9438.820649582378;57721.54642783271;9438.820649582378;79284.58630222177
2021-04-17T14:00:00;5800.221302451138;4766.489657526463;78068.71725487348;27926.991456246218;4766.489657526463;9532.979315052926;69817.47864061553;9532.979315052926;72190.72285821407
2021-04-17T15:00:00;6196.71940263108;4313.029019837459;67322.54813300159;29836.05638303853;4313.029019837459;8626.058039674917;74590.1409575963;8626.058039674917;77480.79642484308
2021-04-17T16:00:00;2963.6796401131137;4775.858678966319;64583.00881209949;14269.568637581655;4775.858678966319;9551.717357932637;35673.92159395414;9551.717357932637;82375.6795844976
2021-04-17T17:00:00;4678.9648995872085;4929.042179507955;63376.306968368815;22528.349516531;4929.042179507955;9858.08435901591;56320.8737913275;9858.08435901591;85040.2802493455
2021-04-17T18:00:00;7122.5999300440235;5280.1462579665385;87318.73915833601;34293.99966317492;5280.1462579665385;10560.292515933077;85734.99915793729;10560.292515933077;87841.82808492714
2021-04-17T19:00:00;6042.286265785631;5842.990220965854;78769.90886677105;29092.489427856737;5842.990220965854;11685.980441931708;72731.22356964184;11685.980441931708;95205.67309409563
2021-04-17T20:00:00;2486.0143563818433;6146.54651561717;64061.19179859434;11969.698752949616;6146.54651561717;12293.09303123434;29924.24688237403;12293.09303123434;83052.58988555294
