;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-08-06T13:00:00;3917.0005826456077;1701.4952055107117;39895.37630472377;18859.632434960335;1701.4952055107117;3402.9904110214234;47149.08108740083;3402.9904110214234;29921.53222854284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T14:00:00;2859.13007364808;1735.6798484202386;29120.76926863785;13766.181836083351;1735.6798484202386;3471.359696840477;34415.45459020836;3471.359696840477;21840.57695147839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T15:00:00;2374.6092298324184;1576.2041470871081;24185.834748293146;11433.303699193126;1576.2041470871081;3152.4082941742163;28583.259247982805;3152.4082941742163;18139.37606121986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T16:00:00;1676.3202275660099;1547.7037866013359;17073.63194743158;8071.171466058566;1547.7037866013359;3095.4075732026718;20177.928665146417;3095.4075732026718;12805.223960573687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T17:00:00;1353.1539666436772;1665.0210599582829;13782.123734333747;6515.18576532141;1665.0210599582829;3330.0421199165658;16287.96441330352;3330.0421199165658;10336.592800750312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T18:00:00;1269.200826724674;1741.4430792109908;12927.045457380938;6110.96694348917;1741.4430792109908;3482.8861584219817;15277.417358722925;3482.8861584219817;9695.284093035705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T19:00:00;1067.3171418014813;1728.5744953905453;10870.822740570642;5138.934386451579;1728.5744953905453;3457.1489907810906;12847.33596612894;3457.1489907810906;8153.117055427984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T20:00:00;1830.8183834242116;1962.340610067476;18647.22427561697;8815.051475746206;1962.340610067476;3924.681220134952;22037.628689365505;3924.681220134952;13985.418206712728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T21:00:00;2047.786207824684;1948.445697476075;20857.08174636252;9859.71137100774;1948.445697476075;3896.89139495215;24649.278427519344;3896.89139495215;15642.811309771894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T22:00:00;1710.7547277868712;1674.494863997875;17424.35370894035;8236.967207862714;1674.494863997875;3348.98972799575;20592.41801965678;3348.98972799575;13068.265281705264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
