Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
;;;;;;;;;;;;;;
EFH;7;ÜWH;EFH7ÜWH;0.00156850;-0.00006721;-0.00013400;;;;;;;;
EFH;7;ÜWB;EFH7ÜWB;0.00229980;-0.00000714;-0.00006980;;;;;;;;
EFH;7;ÜSH;EFH7ÜSH;0.00177370;0.00007296;0.00030485;;;;;;;;
EFH;7;ÜSB;EFH7ÜSB;0.00245410;0.00014638;0.00035755;;;;;;;;
EFH;7;SWX;EFH7SWX;0.00000000;-0.00013777;-0.00021162;;;;;;;;
EFH;7;SSX;EFH7SSX;0.00000000;-0.00007865;0.00014100;;;;;;;;
EFH;7;WWH;EFH7WWH;0.00547400;-0.00000523;0.00007201;;;;;;;;
EFH;7;WWB;EFH7WWB;0.00498120;0.00005580;0.00002218;;;;;;;;
EFH;7;WSH;EFH7WSH;0.00496760;0.00009871;0.00074082;;;;;;;;
EFH;7;WSB;EFH7WSB;0.00446430;0.00020074;0.00039588;;;;;;;;
;;;;;;;;;;;;;;
EFH;8;ÜWH;EFH8ÜWH;0.00132550;-0.00009104;-0.00015711;;;;;;;;
EFH;8;ÜWB;EFH8ÜWB;0.00158650;-0.00003266;-0.00009482;;;;;;;;
EFH;8;ÜSH;EFH8ÜSH;0.00220070;0.00004518;0.00026872;;;;;;;;
EFH;8;ÜSB;EFH8ÜSB;0.00185160;0.00011654;0.00031986;;;;;;;;
EFH;8;SWX;EFH8SWX;0.00000000;-0.00015962;-0.00023242;;;;;;;;
EFH;8;SSX;EFH8SSX;0.00000000;-0.00010216;0.00010973;;;;;;;;
EFH;8;WWH;EFH8WWH;0.00457720;-0.00003081;0.00004279;;;;;;;;
EFH;8;WWB;EFH8WWB;0.00432860;0.00002850;-0.00000556;;;;;;;;
EFH;8;WSH;EFH8WSH;0.00453310;0.00007020;0.00069177;;;;;;;;
EFH;8;WSB;EFH8WSB;0.00393760;0.00016936;0.00035705;;;;;;;;
;;;;;;;;;;;;;;
EFH;9;ÜWH;EFH9ÜWH;0.00157750;-0.00006698;-0.00013922;;;;;;;;
EFH;9;ÜWB;EFH9ÜWB;0.00195810;-0.00000689;-0.00007546;;;;;;;;
EFH;9;ÜSH;EFH9ÜSH;0.00212880;0.00007324;0.00029669;;;;;;;;
EFH;9;ÜSB;EFH9ÜSB;0.00203480;0.00014668;0.00034903;;;;;;;;
EFH;9;SWX;EFH9SWX;0.00000000;-0.00013756;-0.00021632;;;;;;;;
EFH;9;SSX;EFH9SSX;0.00000000;-0.00007842;0.00013393;;;;;;;;
EFH;9;WWH;EFH9WWH;0.00454570;-0.00000498;0.00006541;;;;;;;;
EFH;9;WWB;EFH9WWB;0.00518250;0.00005607;0.00001591;;;;;;;;
EFH;9;WSH;EFH9WSH;0.00500100;0.00009899;0.00072974;;;;;;;;
EFH;9;WSB;EFH9WSB;0.00439150;0.00020105;0.00038710;;;;;;;;
;;;;;;;;;;;;;;
EFH;10;ÜWH;EFH10ÜWH;0.00139730;-0.00007817;-0.00014886;;;;;;;;
EFH;10;ÜWB;EFH10ÜWB;0.00159640;-0.00001888;-0.00008589;;;;;;;;
EFH;10;ÜSH;EFH10ÜSH;0.00201090;0.00006018;0.00028162;;;;;;;;
EFH;10;ÜSB;EFH10ÜSB;0.00179680;0.00013265;0.00033331;;;;;;;;
EFH;10;SWX;EFH10SWX;0.00000000;-0.00014782;-0.00022500;;;;;;;;
EFH;10;SSX;EFH10SSX;0.00000000;-0.00008947;0.00012089;;;;;;;;
EFH;10;WWH;EFH10WWH;0.00461570;-0.00001700;0.00005322;;;;;;;;
EFH;10;WWB;EFH10WWB;0.00459020;0.00004324;0.00000434;;;;;;;;
EFH;10;WSH;EFH10WSH;0.00491980;0.00008560;0.00070928;;;;;;;;
EFH;10;WSB;EFH10WSB;0.00412440;0.00018630;0.00037091;;;;;;;;
;;;;;;;;;;;;;;
EFH;11;ÜWH;EFH11ÜWH;0.00103820;-0.00010045;-0.00017095;;;;;;;;
EFH;11;ÜWB;EFH11ÜWB;0.00166980;-0.00004273;-0.00010980;;;;;;;;
EFH;11;ÜSH;EFH11ÜSH;0.00186350;0.00003422;0.00024709;;;;;;;;
EFH;11;ÜSB;EFH11ÜSB;0.00164900;0.00010476;0.00029729;;;;;;;;
EFH;11;SWX;EFH11SWX;0.00000000;-0.00016824;-0.00024489;;;;;;;;
EFH;11;SSX;EFH11SSX;0.00000000;-0.00011144;0.00009101;;;;;;;;
EFH;11;WWH;EFH11WWH;0.00335180;-0.00004090;0.00002529;;;;;;;;
EFH;11;WWB;EFH11WWB;0.00393870;0.00001773;-0.00002218;;;;;;;;
EFH;11;WSH;EFH11WSH;0.00301510;0.00005895;0.00066239;;;;;;;;
EFH;11;WSB;EFH11WSB;0.00358590;0.00015698;0.00033380;;;;;;;;
;;;;;;;;;;;;;;
EFH;12;ÜWH;EFH12ÜWH;0.00263000;-0.00004481;-0.00011068;;;;;;;;
EFH;12;ÜWB;EFH12ÜWB;0.00315360;0.00001686;-0.00004456;;;;;;;;
EFH;12;ÜSH;EFH12ÜSH;0.00277760;0.00009908;0.00034131;;;;;;;;
EFH;12;ÜSB;EFH12ÜSB;0.00285920;0.00017444;0.00039559;;;;;;;;
EFH;12;SWX;EFH12SWX;0.00000000;-0.00011724;-0.00019061;;;;;;;;
EFH;12;SSX;EFH12SSX;0.00000000;-0.00005655;0.00017256;;;;;;;;
EFH;12;WWH;EFH12WWH;0.00606810;0.00001881;0.00010150;;;;;;;;
EFH;12;WWB;EFH12WWB;0.00584350;0.00008146;0.00005019;;;;;;;;
EFH;12;WSH;EFH12WSH;0.00566860;0.00012550;0.00079034;;;;;;;;
EFH;12;WSB;EFH12WSB;0.00527140;0.00023024;0.00043506;;;;;;;;
;;;;;;;;;;;;;;
EFH;13;ÜWH;EFH13ÜWH;0.00140350;-0.00006162;-0.00013546;;;;;;;;
EFH;13;ÜWB;EFH13ÜWB;0.00212660;-0.00000114;-0.00007138;;;;;;;;
EFH;13;ÜSH;EFH13ÜSH;0.00195090;0.00007948;0.00030258;;;;;;;;
EFH;13;ÜSB;EFH13ÜSB;0.00201600;0.00015339;0.00035518;;;;;;;;
EFH;13;SWX;EFH13SWX;0.00000000;-0.00013264;-0.00021292;;;;;;;;
EFH;13;SSX;EFH13SSX;0.00000000;-0.00007313;0.00013903;;;;;;;;
EFH;13;WWH;EFH13WWH;0.00531800;0.00000078;0.00007017;;;;;;;;
EFH;13;WWB;EFH13WWB;0.00513390;0.00006221;0.00002044;;;;;;;;
EFH;13;WSH;EFH13WSH;0.00533560;0.00010540;0.00073774;;;;;;;;
EFH;13;WSB;EFH13WSB;0.00484800;0.00020811;0.00039344;;;;;;;;
;;;;;;;;;;;;;;
