;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8
2021-01-05T13:00:00;4646.021823239405;5022.595169740798;2906.826957974872;3708.95326729139;2194.661216443513;3851.902548487731;4568.071807301512;4568.071807301512
2021-01-05T14:00:00;4654.720687209451;5031.999101495841;2912.2694834846325;3715.897634143488;2198.770336053474;3859.1145628884315;4576.624723488508;4576.624723488508
2021-01-05T15:00:00;4652.649529121344;5029.760070125594;2910.973644077547;3714.244213464417;2197.7919742415775;3857.39741660255;4574.588314872556;4574.588314872556
2021-01-05T16:00:00;4546.606235010316;4915.121663968885;2844.6266664347536;3629.5890746959967;2147.6998494725385;3769.4795267654545;4470.32419373586;4470.32419373586
2021-01-05T17:00:00;4790.588657789205;5178.879559384125;2997.2765485894615;3824.362030690526;2262.950870913804;3971.7593592422095;4710.2131286949;4710.2131286949
2021-01-05T18:00:00;4747.922801174222;5132.755513157011;2970.5822568034937;3790.301564701669;2242.796617588761;3936.3861457530643;4668.263111206306;4668.263111206306
2021-01-05T19:00:00;4871.778054842961;5266.649589097855;3048.073453347225;3889.176121310098;2301.302653940099;4039.071493648735;4790.040346440183;4790.040346440183
2021-01-05T20:00:00;4786.446341612995;5174.401496643629;2994.6848697752903;3821.0551893323845;2260.9941472900136;3968.325066670448;4706.140311462998;4706.140311462998
2021-01-05T21:00:00;4509.118273615598;4874.595196167392;2821.1719731665003;3599.6621604048178;2129.991500677234;3738.3991789910124;4433.465197787144;4433.465197787144
2021-01-05T22:00:00;4345.082553037604;4697.263911643734;2718.541492125306;3468.71124262242;2052.5052451751276;3602.4011931492573;4272.181635403819;4272.181635403819
2021-01-05T23:00:00;3231.420849063;3493.336743861267;2021.7686429352693;2579.666943486104;1526.44009891903;2679.091635231169;3177.20472260691;3177.20472260691
2021-01-06T00:00:00;2977.6582429445375;3219.005953296285;1862.9996977053074;2377.0863954629335;1406.5691704085161;2468.7032930306887;2927.699694249369;2927.699694249369
2021-01-06T01:00:00;2945.8416558106223;3184.6105408474873;1843.0933527266832;2351.686980803681;1391.5398329497195;2442.3249423194866;2896.416919389381;2896.416919389381
2021-01-06T02:00:00;2929.8293864687184;3167.300431314432;1833.075126822409;2338.904268850986;1383.9760487384303;2429.049563203392;2880.6733006689956;2880.6733006689956
2021-01-06T03:00:00;3040.2516594628905;3286.6727451073184;1902.1618535129262;2427.055178550742;1436.1366905071934;2520.5979568481503;2989.2429310654206;2989.2429310654206
2021-01-06T04:00:00;3644.350911907466;3939.7359683998457;2280.1221944469244;2909.3120385842526;1721.4976402967554;3021.4418053190034;3583.206728243605;3583.206728243605
2021-01-06T05:00:00;5782.508747926443;6251.197607605964;3617.8806197424037;4616.219107384439;2731.508409913374;4794.135936120145;5685.490983867042;5685.490983867042
2021-01-06T06:00:00;5484.930080026895;5929.499338231916;3431.697746118806;4378.65987615967;2590.939900739927;4547.420773585965;5392.905030764811;5392.905030764811
2021-01-06T07:00:00;4844.8552094505085;5237.544570144342;3031.228923607671;3867.6834165441314;2288.584994215909;4016.7504239841464;4763.569207110955;4763.569207110955
2021-01-06T08:00:00;4822.812345161652;5213.715068709228;3017.437599635553;3850.086436453408;2278.1725120549127;3998.4752267593913;4741.896173547827;4741.896173547827
2021-01-06T09:00:00;4696.793705925365;5077.482258617912;2938.592860700612;3749.4848332932334;2218.6445480024263;3893.9962690405146;4617.991849592586;4617.991849592586
2021-01-06T10:00:00;4432.903189108785;4792.202661248474;2773.487293524969;3538.819099942967;2093.9894549618225;3675.211124906431;4358.5288345774;4358.5288345774
2021-01-06T11:00:00;4829.4667947582875;5220.908880463225;3021.601018193174;3855.398732329852;2281.315902895968;4003.9922674310146;4748.438976132922;4748.438976132922
2021-01-06T12:00:00;4841.527984652192;5233.947664267344;3029.147214328862;3865.02726860591;2287.0132987953825;4013.9919036483348;4760.29780581841;4760.29780581841
2021-01-06T13:00:00;4682.237097432725;5061.745795406044;2929.4853826058165;3737.86418606351;2211.7683805376173;3881.9277425713367;4603.679468937688;4603.679468937688
2021-01-06T14:00:00;4686.812031530413;5066.691540986918;2932.3477328641816;3741.5163894785665;2213.929461740843;3885.720708033079;4608.177645714943;4608.177645714943
2021-01-06T15:00:00;4662.065797092924;5039.939553526741;2916.86502010303;3721.761289188038;2202.2399770506686;3865.204213035478;4583.84659860162;4583.84659860162
2021-01-06T16:00:00;4565.784229491602;4935.854089711099;2856.625557847456;3644.899008225725;2156.7590408191477;3785.379530817919;4489.180423698521;4489.180423698521
2021-01-06T17:00:00;4805.344414970484;5194.831312854987;3006.508625921799;3836.1416597777406;2269.921111097143;3983.992994996379;4724.721316761953;4724.721316761953
2021-01-06T18:00:00;4765.001814290881;5151.21882909638;2981.2679009162243;3803.935866026793;2250.8643041232444;3950.545935924659;4685.055576089811;4685.055576089811
2021-01-06T19:00:00;4894.555629875381;5291.273351682007;3062.3244559599;3907.3596263713303;2312.0621945600424;4057.9558215003367;4812.435763918387;4812.435763918387
2021-01-06T20:00:00;4809.503445968382;5199.327445201236;3009.110762520312;3839.4618447005187;2271.8857303728023;3987.441145416144;4728.8105683776375;4728.8105683776375
