Adresse;UTM_X;UTM_Y;Grundfläche;Wandfläche;Dachfläche;Volumen;Nutzungstyp;Typ;Gebäudezustand;ww_demand_Wh_per_m2;air_change_rate;floors;fracture_windows;fracture_doors;min_air_temp;room_temp;max_air_temp_heating;Jährlicher Wärmebedarf in kWh
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480119.24037267535;5711260.070758436;671.7;1988.8;711.7;8662.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;704850.46
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480083.82496979926;5711324.070763105;511.2;1620.7;540.7;6743.8;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;554008.54
Bad Muskau - Mužakow Berliner Chaussee, Bad Muskau, Görlitz, 02953;480153.01732875797;5711164.411721707;123.0;194.2;172.3;422.4;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;97496.33
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480193.1481817658;5711201.637401206;167.6;548.0;167.6;1744.4;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;176679.40
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480206.68754113704;5711239.243001643;166.6;440.9;188.6;425.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;148445.45
Berliner Chaussee 18, Bad Muskau - Mužakow, Bad Muskau, Sachsen;480040.8882437647;5711261.217415743;1282.6;922.4;1377.2;6949.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;805960.57
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480311.42505757685;5711306.498661736;72.3;107.0;72.4;159.6;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;49833.72
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480160.6556016156;5711290.550562064;43.1;176.5;69.4;201.6;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;52599.69
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480317.1714903774;5711281.801714299;301.7;318.9;306.5;1052.4;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;194466.91
Bad Muskau Bad Muskau - Mužakow, Görlitz, Sachsen, Deutschland;480091.49796584743;5711226.652404705;320.2;548.9;341.9;908.2;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;238218.06
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480171.9915875045;5711241.349284871;196.5;650.7;197.9;2174.4;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;210185.66
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480048.4946567443;5711373.617430029;491.7;1588.2;519.7;6439.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;536600.61
