time_steps;Last_L;Erzeuger 0;Erzeuger 1;Erzeuger 2;Erzeuger 3;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
1973-05-27 05:44:00;1146.9083292229952;0.0;240.0;240.0;666.9083292229952;0.0;0.0;0.0
1973-05-27 05:48:00;1189.8507370673915;0.0;240.0;240.0;709.8507370673915;0.0;0.0;0.0
1973-05-27 05:52:00;1178.3515772123849;0.0;240.0;240.0;698.3515772123849;0.0;0.0;0.0
1973-05-27 05:56:00;1169.2003949114312;0.0;240.0;240.0;689.2003949114312;0.0;0.0;0.0
1973-05-27 06:00:00;1121.5757889164652;0.0;240.0;240.0;641.5757889164652;0.0;0.0;0.0
1973-05-27 06:04:00;1197.6824234983546;0.0;240.0;240.0;717.6824234983546;0.0;0.0;0.0
1973-05-27 06:08:00;1191.802070477761;0.0;240.0;240.0;711.8020704777609;0.0;0.0;0.0
1973-05-27 06:12:00;1007.3035301369636;0.0;240.0;240.0;527.3035301369636;0.0;0.0;0.0
1973-05-27 06:16:00;1034.9106659407455;0.0;240.0;240.0;554.9106659407455;0.0;0.0;0.0
1973-05-27 06:20:00;1012.3228055196388;0.0;240.0;240.0;532.3228055196388;0.0;0.0;0.0
1973-05-27 06:24:00;1022.3780386933648;0.0;240.0;240.0;542.3780386933648;0.0;0.0;0.0
1973-05-27 06:28:00;1012.2510320838096;0.0;240.0;240.0;532.2510320838096;0.0;0.0;0.0
1973-05-27 06:32:00;1035.5368817744682;0.0;240.0;240.0;555.5368817744682;0.0;0.0;0.0
1973-05-27 06:36:00;1075.4958755342334;0.0;240.0;240.0;595.4958755342334;0.0;0.0;0.0
1973-05-27 06:40:00;1112.7641019567304;0.0;240.0;240.0;632.7641019567304;0.0;0.0;0.0
1973-05-27 06:44:00;1248.4953115671294;0.0;240.0;240.0;768.4953115671294;0.0;0.0;0.0
1973-05-27 06:48:00;1403.729354580184;0.0;240.0;240.0;923.729354580184;0.0;0.0;0.0
1973-05-27 06:52:00;1413.057905285565;0.0;240.0;240.0;933.0579052855651;0.0;0.0;0.0
1973-05-27 06:56:00;1551.328176676367;0.0;240.0;240.0;1071.328176676367;0.0;0.0;0.0
1973-05-27 07:00:00;1409.089269028386;0.0;240.0;240.0;929.0892690283861;0.0;0.0;0.0
1973-05-27 07:04:00;1318.1718973125735;0.0;240.0;240.0;838.1718973125735;0.0;0.0;0.0
1973-05-27 07:08:00;1245.504575563305;0.0;240.0;240.0;765.504575563305;0.0;0.0;0.0
1973-05-27 07:12:00;1213.7451136341813;0.0;240.0;240.0;733.7451136341813;0.0;0.0;0.0
1973-05-27 07:16:00;1186.5683394029609;0.0;240.0;240.0;706.5683394029609;0.0;0.0;0.0
1973-05-27 07:20:00;1127.8068224658966;0.0;240.0;240.0;647.8068224658966;0.0;0.0;0.0
1973-05-27 07:24:00;1170.078641312137;0.0;240.0;240.0;690.078641312137;0.0;0.0;0.0
1973-05-27 07:28:00;1121.501611043327;0.0;240.0;240.0;641.5016110433271;0.0;0.0;0.0
1973-05-27 07:32:00;1122.2005707651151;0.0;240.0;240.0;642.2005707651151;0.0;0.0;0.0
1973-05-27 07:36:00;1118.5077888058092;0.0;240.0;240.0;638.5077888058092;0.0;0.0;0.0
1973-05-27 07:40:00;1201.4516211580758;0.0;240.0;240.0;721.4516211580758;0.0;0.0;0.0
1973-05-27 07:44:00;1206.6775845081804;0.0;240.0;240.0;726.6775845081804;0.0;0.0;0.0
1973-05-27 07:48:00;1029.554713825164;0.0;240.0;240.0;549.5547138251641;0.0;0.0;0.0
1973-05-27 07:52:00;911.890891835156;0.0;240.0;240.0;431.890891835156;0.0;0.0;0.0
1973-05-27 07:56:00;949.496693185102;0.0;240.0;240.0;469.496693185102;0.0;0.0;0.0
1973-05-27 08:00:00;889.3478346147964;0.0;240.0;240.0;409.3478346147964;0.0;0.0;0.0
1973-05-27 08:04:00;923.9731585651464;0.0;240.0;240.0;443.9731585651464;0.0;0.0;0.0
1973-05-27 08:08:00;942.3974669076044;0.0;240.0;240.0;462.39746690760444;0.0;0.0;0.0
1973-05-27 08:12:00;1002.0138731109404;0.0;240.0;240.0;522.0138731109404;0.0;0.0;0.0
1973-05-27 08:16:00;1049.504267067668;0.0;240.0;240.0;569.504267067668;0.0;0.0;0.0
1973-05-27 08:20:00;1116.010619463182;0.0;240.0;240.0;636.0106194631819;0.0;0.0;0.0
1973-05-27 08:24:00;1371.6912247830792;0.0;240.0;240.0;891.6912247830792;0.0;0.0;0.0
1973-05-27 08:28:00;1353.576181509016;0.0;240.0;240.0;873.5761815090159;0.0;0.0;0.0
1973-05-27 08:32:00;1555.971812620414;0.0;240.0;240.0;1075.971812620414;0.0;0.0;0.0
1973-05-27 08:36:00;1346.910105219151;0.0;240.0;240.0;866.9101052191511;0.0;0.0;0.0
1973-05-27 08:40:00;1289.362500571949;0.0;240.0;240.0;809.3625005719491;0.0;0.0;0.0
1973-05-27 08:44:00;1176.9225020194913;0.0;240.0;240.0;696.9225020194913;0.0;0.0;0.0
1973-05-27 08:48:00;1189.4502924641656;0.0;240.0;240.0;709.4502924641656;0.0;0.0;0.0
1973-05-27 08:52:00;1140.882615932108;0.0;240.0;240.0;660.8826159321079;0.0;0.0;0.0
1973-05-27 08:56:00;1088.5468157191342;0.0;240.0;240.0;608.5468157191342;0.0;0.0;0.0
1973-05-27 09:00:00;1127.158728187717;0.0;240.0;240.0;647.1587281877171;0.0;0.0;0.0
1973-05-27 09:04:00;1090.6862114539506;0.0;240.0;240.0;610.6862114539506;0.0;0.0;0.0
1973-05-27 09:08:00;1064.1111677650254;0.0;240.0;240.0;584.1111677650254;0.0;0.0;0.0
