
REM Knotendaten
REM;
REM;
REM FLDNAM KNO;

REM Knotendaten
REM;Koordinate x;Koordinate y;Knotenname;Zufluss;Fluss-Status;Messdruck;Druck-Status;Temperatur;Höhe;Ber.Druck;Sättigungsdampfdruck;Abs.Druck;Diff.Druck;Qualität 1;Druckhöhe;Symbol-Nr.;Abgänge;Teilnetz;Gebiet;Letzte Änderung;Ort;Sohlhöhe;Letzter Benutzer;Minimale Laufzeit;Maximale Laufzeit;Betriebsdichte;Medium-Zähigkeit;Qualität 2;Qualität 3;Messtemp.;Wärmeleistung;Trennt;Text Abstand x;Text Abstand y;Ergebnisdiagramm;Einfügen Status;Import Status;Normdichte;Mittlere Laufzeit;Anzahl Abnehmer;Sim. Status;Verbindungsfehler;Kondensat;Vorlauf;Knoten Gegenüber;Drucklimit unten;Drucklimit oben;Temp.limit unten;Temp.limit oben;In Längsschnitt nicht ausblenden;STANET-ID;Smallworld URN;Aktiv f.Berechnung;Anzahl Sätze*;Gelöscht*;Satz No*
REM;m;m;;t/h;?;bar;!;C;mNN;bar;bar abs.;bar;bar;;m;;;;;;;mNN;;h;h;kg/m3;E-6kg/ms;;;C;kW;[J/N];;;[+];[I/U/D/K];[I/U/M];kg/m3;h;;;[J/N];t/h;[J/N];;bar;bar;C;C;[J/N];;;;;*;
REM FLDNAM KNO;XRECHTS;YHOCH;KNAM;ZUFLUSS;FSTATUS;PMESS;DSTATUS;TEMP;GEOH;PRECH;PSTEAM;PABS;DP;HO;HP;SYMBOL;ABGAENGE;NETZNR;GEBIET;LASTMODI;LOCATION;INVERT;USERNAME;TMIN;TMAX;RHO;ETA;QUALI2;QUALI3;TMESS;WAERMEMENG;DISCONNECT;FLAGOFFX;FLAGOFFY;SWMMPRINT;PASTESTATE;IMEXSTATE;RHON;TMED;ABNCOUNT;CALCBAD;LINKERR;KONDENSAT;SUPPLY;OTHERNODE;PLIMITLOW;PLIMITHIGH;TLIMITLOW;TLIMITHIGH;NOHIDECHRT;STANETID;SWURN;ISACTIVE;!RECCOUNT;!DELETED;!RECNO
KNO; 5486418.80295; 5639030.21499;K1039;     0.000;;  0.0000;;  90.0;   0.00;  4.0584;  0.7008;  5.0714;  0.0000;  0.0000;    42.876;  0;  1;   1;;     20240103114953;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   93;  0.0000;  0.0000;   0.00;   0.00;;KNO00001F659549E1EDB3;;1;     126;;      31;
KNO; 5486405.83888; 5639039.24601;K1040;     0.000;;  0.0000;;  90.0;   0.00;  4.0624;  0.7008;  5.0754;  0.0000;  0.0000;    42.918;  0;  1;   1;;     20240103114954;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   94;  0.0000;  0.0000;   0.00;   0.00;;KNO000020659549E28AE9;;1;     126;;      32;
KNO; 5486398.44259; 5639048.86219;K1041;     0.000;;  0.0000;;  90.0;   0.00;  4.0622;  0.7008;  5.0752;  0.0000;  0.0000;    42.917;  0;  1;   1;;     20240103114954;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   95;  0.0000;  0.0000;   0.00;   0.00;;KNO000021659549E20AFF;;1;     126;;      33;
KNO; 5486386.09073; 5639055.49246;K1042;     0.000;;  0.0000;;  90.0;   0.00;  4.0648;  0.7008;  5.0778;  0.0000;  0.0000;    42.943;  0;  1;   1;;     20240103114955;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   96;  0.0000;  0.0000;   0.00;   0.00;;KNO000022659549E3A535;;1;     126;;      34;
KNO; 5486360.08442; 5639043.86508;K1043;     0.000;;  0.0000;;  90.0;   0.00;  4.0619;  0.7008;  5.0749;  0.0000;  0.0000;    42.913;  0;  1;   1;;     20240103114955;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   97;  0.0000;  0.0000;   0.00;   0.00;;KNO000023659549E33DCB;;1;     126;;      35;
KNO; 5486350.15175; 5639029.79616;K1044;     0.000;;  0.0000;;  90.0;   0.00;  4.0618;  0.7008;  5.0748;  0.0000; -2.0000;    42.912;  0;  1;   1;;     20240103114956;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   98;  0.0000;  0.0000;   0.00;   0.00;;KNO000024659549E4C204;;1;     126;;      36;
KNO; 5486342.69844; 5639017.81997;K1045;     0.000;;  0.0000;;  90.0;   0.00;  4.0577;  0.7008;  5.0707;  0.0000;  0.0000;    42.868;  0;  1;   1;;     20240103114956;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   99;  0.0000;  0.0000;   0.00;   0.00;;KNO000025659549E464F6;;1;     126;;      37;
KNO; 5486334.00895; 5639006.14696;K1046;     0.000;;  0.0000;;  90.0;   0.00;  4.0578;  0.7008;  5.0708;  0.0000; -2.0000;    42.870;  0;  1;   1;;     20240103114957;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;  100;  0.0000;  0.0000;   0.00;   0.00;;KNO000026659549E50B08;;1;     126;;      38;
KNO; 5486310.53897; 5639018.20500;K1047;     0.000;;  0.0000;;  90.0;   0.00;  4.0588;  0.7008;  5.0718;  0.0000; -2.0000;    42.881;  0;  3;   1;;     20240103115002;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;  115;  0.0000;  0.0000;   0.00;   0.00;;KNO000027659549EA8BF4;;1;     126;;      39;
KNO; 5486321.08865; 5639031.67242;K1048;     0.000;;  0.0000;;  90.0;   0.00;  4.0611;  0.7008;  5.0741;  0.0000;  0.0000;    42.905;  0;  4;   1;;     20240103115003;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;  116;  0.0000;  0.0000;   0.00;   0.00;;KNO000028659549EB9BB6;;1;     126;;      40;
